"esm_case","SDE_wt","SDL_wt","AWY_wt","cost_wt","SDE_2_agg_delta_abs","SDL_3_agg_delta_abs","AWY_1_agg_delta_abs","cost","terracing_npix","grass_strips_npix","riparian_mgmt_npix","agroforestry_npix","reforestation_npix","road_mitigation_npix","terracing_frac_area","grass_strips_frac_area","riparian_mgmt_frac_area","agroforestry_frac_area","reforestation_frac_area","road_mitigation_frac_area","terracing_frac_alloc","grass_strips_frac_alloc","riparian_mgmt_frac_alloc","agroforestry_frac_alloc","reforestation_frac_alloc","road_mitigation_frac_alloc","terracing_budg","grass_strips_budg","riparian_mgmt_budg","agroforestry_budg","reforestation_budg","road_mitigation_budg","budget","wt_case","awy_1","sdr_1","sdr_biophysical_table_path","awy_biophysical_table_uri","cat_scen","port_rast","AWY_1_rast_delta_abs","SDE_2_rast_delta_abs","SDL_3_rast_delta_abs","AWY_1_rast_abs","SDE_2_rast_abs","SDL_3_rast_abs","frontier_id"
1,0,0,1,0,2.39094713968205,-544.791707323134,2527977.33259528,624416000,0,0,395,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,624416000,0,0,0,6.25e+08,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif",1
1,0.25,0,0.75,0,2.39094713968205,-544.791707323134,2527977.33259528,624416000,0,0,395,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,624416000,0,0,0,6.25e+08,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif",1
1,0.5,0,0.5,0,979.01982218665,3514.97917876649,2527824.18979139,624608000,0,1,395,0,0,0,0,0.00252525252525253,0.997474747474748,0,0,0,0,0.000307392796762129,0.999692607203238,0,0,0,0,192000,624416000,0,0,0,6.25e+08,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif",1
1,0.75,0,0.25,0,20578.7888932523,139779.871417465,2485108.80706503,624576000,0,42,390,0,0,0,0,0.0972222222222222,0.902777777777778,0,0,0,0,0.0129111589302183,0.987088841069782,0,0,0,0,8064000,616512000,0,0,0,6.25e+08,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif",1
1,1,0,0,0,259451.782860553,4023739.99631576,-2399219.21464879,624947200,0,3222,0,0,4,0,0,0.998760074395536,0,0,0.00123992560446373,0,0,0.989882025233492,0,0,0.0101179747665083,0,0,618624000,0,0,6323200,0,6.25e+08,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif",1
1,0,0.25,0.75,0,21688.1623844542,255153.48786735,2455346.28200769,623865600,0,63,387,0,0,0,0,0.14,0.86,0,0,0,0,0.0193887914320007,0.980611208567999,0,0,0,0,12096000,611769600,0,0,0,6.25e+08,6,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif",1
1,0.25,0.25,0.5,0,59879.1633642471,769575.769132318,2230042.96532216,623571200,0,292,359,0,0,0,0,0.448540706605223,0.551459293394777,0,0,0,0,0.0899079367360135,0.910092063263987,0,0,0,0,56064000,567507200,0,0,0,6.25e+08,7,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif",1
1,0.5,0.25,0.25,0,160815.79974498,2590092.4534703,733971.009286967,624652800,0,1722,186,0,0,0,0,0.90251572327044,0.0974842767295598,0,0,0,0,0.52929243253212,0.47070756746788,0,0,0,0,330624000,294028800,0,0,0,6.25e+08,8,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif",1
1,0.75,0.25,0,0,238531.137258103,4507260.19657092,-3231243.30082645,624960000,0,3255,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,624960000,0,0,0,0,6.25e+08,9,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif",1
1,0,0.5,0.5,0,140713.814723929,2289410.61817926,1050994.1707451,623769600,0,1421,222,0,0,0,0,0.86488131466829,0.13511868533171,0,0,0,0,0.437392267914307,0.562607732085693,0,0,0,0,272832000,350937600,0,0,0,6.25e+08,10,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/obj_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif",1
